chr11	95628139	95628080	2.302657
chr8	40258704	40258763	3.6388197
chr12	85253008	85252949	2.355123
chr8	80596523	80596582	4.836536
chr11	104305877	104305936	2.0925746
chr12	106115515	106115456	3.342271
chr15	85435889	85435830	2.2883167
chr11	3539586	3539527	3.2453232
chr3	145270487	145270546	2.8009355
chr6	100174415	100174474	2.3398378
chr7	96644158	96644217	2.2339053
chr13	74643624	74643683	2.6921809
chr9	41420749	41420808	2.6743295
chr2	84429106	84429165	5.1072874
chr5	125192048	125191989	2.0398114
chr16	84707419	84707478	6.0471077
chr19	53537175	53537234	2.1633127
chr5	137409832	137409773	2.092355
chrX	11691294	11691235	2.2238624
chr10	62350079	62350020	2.8303232
chr14	62308215	62308274	3.1676896
chr2	128212050	128211991	2.5420444
chr8	44243305	44243246	2.3548868
chr6	40718909	40718968	2.5718906
chr17	21178585	21178526	2.0124378
chr1	87354285	87354344	2.0588799
chr5	113619493	113619434	2.2364697
chr7	26057348	26057289	3.6853456
chr16	93135519	93135460	2.2400928
chr13	112351085	112351026	2.2047002
chr3	96082507	96082566	2.030992
chr4	55490698	55490639	2.3525102
chr10	118427666	118427607	2.0392666
chr9	27154979	27155038	2.3319154
chr4	123361075	123361134	3.104414
chr16	91189304	91189245	2.7230084
chr18	36488540	36488599	2.1939769
chr7	99881429	99881370	2.373512
chr5	113629642	113629701	2.974438
chr17	64063528	64063469	4.5668693
chr10	66386121	66386180	2.8145192
chr3	137744315	137744374	2.4691634
chr5	26334815	26334756	2.6594257
chr12	110985617	110985676	3.8946154
chr13	111417551	111417610	3.3543172
chr8	41938443	41938384	2.171877
chr11	87845246	87845187	3.774831
chr8	20020652	20020711	2.6611526
chr5	120277149	120277090	3.0157516
chr9	43926243	43926184	2.858501
chr1	94077681	94077740	2.051858
chr17	56693052	56692993	2.9028392
chr17	25998185	25998244	2.5108101
chr16	90013794	90013735	3.7182357
chr13	52679947	52680006	3.0833366
chr1	82893114	82893055	2.3266075
chr19	6276469	6276528	2.671398
chr16	93135651	93135592	2.4803283
chr10	21863627	21863568	2.1322603
chr8	59985419	59985360	2.1535945
chr9	96647138	96647079	2.852322
chr10	69682265	69682206	3.1878412
chr1	138528275	138528334	2.4573042
chr11	117793544	117793603	3.0053759
chr8	37596885	37596826	2.5345786
chr3	131139151	131139092	2.1041963
chr3	137744112	137744171	2.631589
chrX	120977107	120977166	2.8143647
chr16	25524632	25524573	2.105292
chr5	136372013	136371954	2.0863843
chr5	149776577	149776518	3.986147
chr17	88489059	88489000	2.4078465
chr2	116802650	116802591	3.5751078
chr4	149445831	149445890	2.0343833
chr6	86799103	86799162	2.655938
chr11	69184601	69184542	2.9767487
chrX	11690353	11690294	2.9965532
chr13	21858466	21858407	2.1094015
chr17	33380662	33380721	2.2004693
chr17	84477861	84477802	2.6296413
chr2	157239613	157239672	3.9230127
chr5	144527095	144527154	2.0433753
chr4	155569511	155569452	2.0608397
chr7	112935365	112935306	2.131136
chr3	137744343	137744402	3.1686347
chr16	84706065	84706124	7.732303
chr17	29602889	29602948	2.177123
chrX	6951000	6951059	2.6600344
chr13	51249256	51249197	2.1023295
chr9	75345079	75345138	2.0061758
chr5	33928135	33928194	3.6510758
chr12	56565266	56565207	3.3999133
chr4	138661923	138661982	2.4773219
chr10	66386227	66386286	3.2535527
chr8	87513546	87513605	2.6855514
chr10	66377322	66377381	2.6289616
chr2	174108940	174108999	3.1459408
chr2	174433043	174432984	2.7952976
chr3	95457526	95457467	2.238534
chr2	128122642	128122583	2.1713054
chr1	162939345	162939404	2.603872
chr10	24269476	24269417	2.680698
chr3	93156225	93156284	2.1081135
chr17	13817627	13817568	2.062356
chr16	59557743	59557684	2.5250406
chr4	140613994	140613935	2.245813
chr4	140839676	140839735	2.10883
chr18	84758102	84758043	2.243164
chr3	137744283	137744342	3.2089827
chr10	81083389	81083448	2.7489114
chr13	73479777	73479836	2.4845207
chr5	29783922	29783981	2.4811208
chr9	55926576	55926517	3.0031586
chr6	125380015	125380074	2.1607351
chr19	6275913	6275854	2.2761166
chr10	60481849	60481790	2.6111774
chr19	6276061	6276002	2.6901395
chr17	80144297	80144356	2.8571017
chr16	45061274	45061333	5.0835586
chr2	157239374	157239433	2.875909
chr13	70759877	70759818	2.1896896
chr5	106125235	106125176	2.2312603
chr1	139739218	139739277	2.8331661
chrX	92139169	92139110	2.1505804
chr2	136341183	136341242	2.6822731
chr14	73748960	73748901	2.4802115
chr1	81633202	81633143	2.0672739
chr11	95628199	95628140	2.1702588
chr13	112210770	112210711	20.50982
chr17	17403073	17403132	2.2938118
chr1	58445028	58445087	4.6897936
chr17	35088872	35088931	2.4971004
chr4	123576032	123575973	2.2328613
chr5	123447858	123447917	2.7642255
chr11	99973420	99973361	5.4026775
chr15	41486379	41486320	4.993629
chr8	91570109	91570050	3.1898243
chr2	94018479	94018538	2.531315
chr17	86565406	86565347	3.3393261
chr9	95300259	95300318	3.0531518
chrX	20378545	20378604	2.5543222
chr11	63131638	63131579	2.7552414
chr6	35447868	35447809	2.0578961
chr6	83375424	83375483	2.1564174
chr5	77203871	77203812	2.537419
chr3	26978536	26978477	2.0501628
chr18	46652833	46652892	3.5926352
chr10	81615751	81615810	2.4978433
chr8	59970162	59970103	2.4811037
chr1	55299987	55299928	2.5204916
chr7	7085768	7085709	2.7141345
chr16	9259516	9259457	2.3980212
chr13	5508292	5508233	2.3182716
chr11	18483632	18483691	2.1471217
chr7	129299574	129299633	2.2473352
chr2	174994135	174994076	3.220632
chr7	114381258	114381317	2.5927753
chr15	32171529	32171588	2.315011
chr18	84737515	84737574	2.3538144
chr17	3308927	3308986	2.0794897
chr4	135913320	135913379	2.272799
chr18	82875334	82875393	2.6257308
chr8	67553960	67554019	5.913038
chrX	100779438	100779379	2.2978148
chr15	36800480	36800421	2.3045979
chr6	100174422	100174363	2.7511191
chr17	29207237	29207178	2.0305789
chr8	47822018	47821959	2.032891
chr5	33808841	33808782	2.733715
chr7	69006605	69006546	2.2621424
chr1	107885542	107885483	2.7138796
chr3	151751112	151751053	2.5521455
chr15	86039080	86039021	2.1602652
